iter,f,g[0],g[1],f_x_ag,phi,alpha,Norm(g)
60,[-9.92854865],[0.0099764],[-0.00214765],[-9.92855719],[[-9.92855516]],1,0.010204947090128837
61,[-9.92855404],[0.00535189],[-0.00694539],[-9.92855815],[[-9.92855644]],1,0.008768186748731071
62,[-9.92855815],[0.007216],[-0.00227757],[-9.92856127],[[-9.92855993]],1,0.007566898104878299
63,[-9.92856127],[0.00441418],[-0.00484261],[-9.92856366],[[-9.92856262]],1,0.0065525403013710825
64,[-9.92856546],[0.00616037],[0.00064265],[-9.92856649],[[-9.92856786]],1,0.006193794910351595
65,[-9.92856643],[0.00399426],[-0.00206914],[-9.92856704],[[-9.92856674]],1,0.004498384935224785
66,[-9.92856859],[0.00210515],[-0.00288767],[-9.92856968],[[-9.92856939]],1,0.0035735574932358604
67,[-9.92856926],[0.00295519],[-0.00085695],[-9.92856977],[[-9.92856956]],1,0.0030769270665491383
68,[-9.92856977],[0.0017509],[-0.00200215],[-9.92857016],[[-9.92856999]],1,0.002659752274328496
69,[-9.92857045],[0.0025655],[0.00037687],[-9.92857057],[[-9.92857087]],1,0.002593036236461888
70,[-9.92857061],[0.00162246],[-0.00082074],[-9.92857071],[[-9.92857066]],1,0.00181823334291676
71,[-9.92857097],[0.00082549],[-0.00120258],[-9.92857114],[[-9.9285711]],1,0.0014586405655456585
72,[-9.92857107],[0.00121149],[-0.00031847],[-9.92857116],[[-9.92857112]],1,0.0012526539694440412
73,[-9.92857116],[0.00069317],[-0.000829],[-9.92857122],[[-9.92857119]],1,0.0010806118200127302
74,[-9.92857122],[0.00088169],[-0.00031262],[-9.92857127],[[-9.92857125]],1,0.0009354718603962116
75,[-9.92857131],[0.00024851],[-0.0008536],[-9.92857133],[[-9.92857136]],1,0.0008890373292747079
76,[-9.92857133],[0.00049095],[-0.00041329],[-9.92857134],[[-9.92857133]],1,0.0006417501975710253
77,[-9.92857137],[0.0004972],[-0.00011649],[-9.92857139],[[-9.92857139]],1,0.0005106633293076832
78,[-9.92857138],[0.00027382],[-0.00034378],[-9.92857139],[[-9.92857139]],1,0.0004394980046598276
79,[-9.92857139],[0.00036051],[-0.00011942],[-9.9285714],[[-9.9285714]],1,0.0003797780008716685
80,[-9.92857141],[8.89998534e-05],[-0.00036164],[-9.92857141],[[-9.92857142]],1,0.0003724332292797419
81,[-9.92857141],[0.0001968],[-0.00016899],[-9.92857141],[[-9.92857141]],1,0.00025940231727439257
82,[-9.92857142],[0.00020429],[-4.17186813e-05],[-9.92857142],[[-9.92857142]],1,0.00020850197313802157
83,[-9.92857142],[0.0001079],[-0.00014278],[-9.92857142],[[-9.92857142]],1,0.00017896649330548332
84,[-9.92857142],[0.00014755],[-4.52259549e-05],[-9.92857142],[[-9.92857142]],1,0.00015432508897586972
85,[-9.92857142],[8.92505174e-05],[-9.93556137e-05],[-9.92857143],[[-9.92857142]],1,0.00013355595398649998
86,[-9.92857143],[0.00012672],[1.51576444e-05],[-9.92857143],[[-9.92857143]],1,0.00012762410868301832
87,[-9.92857143],[8.14364273e-05],[-4.18361801e-05],[-9.92857143],[[-9.92857143]],1,9.155412418829232e-05
88,[-9.92857143],[4.23951633e-05],[-5.94003709e-05],[-9.92857143],[[-9.92857143]],1,7.297776325038079e-05
89,[-9.92857143],[6.04484644e-05],[-1.69462797e-05],[-9.92857143],[[-9.92857143]],1,6.277892355736366e-05
90,[-9.92857143],[3.53778839e-05],[-4.10997784e-05],[-9.92857143],[[-9.92857143]],1,5.4229018552343816e-05
91,[-9.92857143],[5.28051966e-05],[8.58284164e-06],[-9.92857143],[[-9.92857143]],1,5.349816776733713e-05
92,[-9.92857143],[3.3085007e-05],[-1.65833831e-05],[-9.92857143],[[-9.92857143]],1,3.700846233276703e-05
93,[-9.92857143],[1.66038229e-05],[-2.47524359e-05],[-9.92857143],[[-9.92857143]],1,2.9805536680008814e-05
