iter,f,g[0],g[1],f_x_ag,phi,alpha,Norm(g)
29,[-9.92846704],[0.01224227],[-0.01825237],[-9.92850555],[[-9.92849723]],1,0.0219777604916606
30,[-9.92849176],[0.01828012],[-0.00461861],[-9.92851058],[[-9.92850287]],1,0.018854561567725376
31,[-9.92851058],[0.010319],[-0.01255544],[-9.92852492],[[-9.92851883]],1,0.01625179756590954
32,[-9.92852492],[0.01328621],[-0.00460039],[-9.92853587],[[-9.9285311]],1,0.014060117363252788
33,[-9.92854399],[0.00357904],[-0.01302872],[-9.92854803],[[-9.9285554]],1,0.013511370287671728
34,[-9.92854852],[0.00734636],[-0.00622791],[-9.92855132],[[-9.92854997]],1,0.009630983109667885
35,[-9.92855842],[0.00750527],[-0.00167767],[-9.92856333],[[-9.92856212]],1,0.007690496488180408
36,[-9.9285615],[0.00407273],[-0.00520954],[-9.92856384],[[-9.92856286]],1,0.006612596822954157
37,[-9.92856384],[0.00543443],[-0.00175217],[-9.92856563],[[-9.92856486]],1,0.005709911740204673
38,[-9.92856691],[0.00126964],[-0.00552339],[-9.92856735],[[-9.92856892]],1,0.0056674399722313595
39,[-9.92856769],[0.00294415],[-0.00254739],[-9.92856815],[[-9.92856793]],1,0.0038932263121355328
40,[-9.9285693],[0.00308504],[-0.00059514],[-9.92857008],[[-9.92856992]],1,0.0031419256103569935
41,[-9.92856981],[0.00160325],[-0.002165],[-9.92857019],[[-9.92857003]],1,0.002693997703569868
42,[-9.92857019],[0.00222497],[-0.00066119],[-9.92857048],[[-9.92857036]],1,0.002321130423583813
43,[-9.92857048],[0.00133025],[-0.00150343],[-9.9285707],[[-9.92857061]],1,0.0020074536749945266
44,[-9.92857087],[0.00192258],[0.00025976],[-9.92857095],[[-9.9285711]],1,0.0019400477303890828
45,[-9.92857096],[0.00122436],[-0.00062356],[-9.92857102],[[-9.92857099]],1,0.0013740033490182442
46,[-9.92857116],[0.00062924],[-0.00090121],[-9.92857126],[[-9.92857124]],1,0.0010991474833150232
47,[-9.92857123],[0.00091187],[-0.00024663],[-9.92857127],[[-9.92857125]],1,0.0009446370758422189
48,[-9.92857127],[0.00052693],[-0.00062225],[-9.92857131],[[-9.92857129]],1,0.0008153783810881131
49,[-9.92857134],[0.00080164],[0.00014298],[-9.92857134],[[-9.92857138]],1,0.0008142908194983027
50,[-9.92857135],[0.00049751],[-0.000247],[-9.92857136],[[-9.92857136]],1,0.0005554475445208166
51,[-9.92857139],[0.00024612],[-0.00037577],[-9.9285714],[[-9.9285714]],1,0.0004491944332460177
52,[-9.9285714],[0.00037412],[-9.06458849e-05],[-9.9285714],[[-9.9285714]],1,0.00038494503700908165
53,[-9.9285714],[0.00020828],[-0.00025793],[-9.92857141],[[-9.92857141]],1,0.00033152316291085675
54,[-9.92857141],[0.00027155],[-9.1727457e-05],[-9.92857141],[[-9.92857141]],1,0.0002866253402254041
55,[-9.92857142],[6.97033371e-05],[-0.00026974],[-9.92857142],[[-9.92857142]],1,0.0002785965066173079
56,[-9.92857142],[0.00014907],[-0.00012729],[-9.92857142],[[-9.92857142]],1,0.00019602330333089567
57,[-9.92857142],[0.00015367],[-3.26734393e-05],[-9.92857143],[[-9.92857142]],1,0.0001571017784689724
58,[-9.92857142],[8.21300437e-05],[-0.00010708],[-9.92857143],[[-9.92857143]],1,0.00013495112613226396
59,[-9.92857143],[0.00011111],[-3.48271406e-05],[-9.92857143],[[-9.92857143]],1,0.00011644032439170947
60,[-9.92857143],[6.77865841e-05],[-7.46256721e-05],[-9.92857143],[[-9.92857143]],1,0.00010081672435048198
61,[-9.92857143],[9.49918621e-05],[1.0258632e-05],[-9.92857143],[[-9.92857143]],1,9.554419599908472e-05
62,[-9.92857143],[6.14599182e-05],[-3.17749613e-05],[-9.92857143],[[-9.92857143]],1,6.918793035357524e-05
63,[-9.92857143],[3.22974624e-05],[-4.45274353e-05],[-9.92857143],[[-9.92857143]],1,5.500744107697808e-05
64,[-9.92857143],[4.55071249e-05],[-1.3091238e-05],[-9.92857143],[[-9.92857143]],1,4.735270770837017e-05
65,[-9.92857143],[2.68836003e-05],[-3.08575342e-05],[-9.92857143],[[-9.92857143]],1,4.0925730061702754e-05
66,[-9.92857143],[3.95654012e-05],[5.96090083e-06],[-9.92857143],[[-9.92857143]],1,4.001191461277529e-05
67,[-9.92857143],[2.49658755e-05],[-1.26016876e-05],[-9.92857143],[[-9.92857143]],1,2.796600564304732e-05
68,[-9.92857143],[1.26610626e-05],[-1.85462818e-05],[-9.92857143],[[-9.92857143]],1,2.2455891760850203e-05
69,[-9.92857143],[1.86576098e-05],[-4.85922648e-06],[-9.92857143],[[-9.92857143]],1,1.9280002240970974e-05
70,[-9.92857143],[1.06410235e-05],[-1.27784007e-05],[-9.92857143],[[-9.92857143]],1,1.6628857681880935e-05
71,[-9.92857143],[1.35741844e-05],[-4.78616747e-06],[-9.92857143],[[-9.92857143]],1,1.439325817964498e-05
72,[-9.92857143],[3.78570511e-06],[-1.31820254e-05],[-9.92857143],[[-9.92857143]],1,1.3714858961111436e-05
73,[-9.92857143],[7.54593178e-06],[-6.36289893e-06],[-9.92857143],[[-9.92857143]],1,9.870540475660543e-06
74,[-9.92857143],[7.65786546e-06],[-1.77454927e-06],[-9.92857143],[[-9.92857143]],1,7.860784217184283e-06
75,[-9.92857143],[4.2026115e-06],[-5.29976178e-06],[-9.92857143],[[-9.92857143]],1,6.763831628941412e-06
76,[-9.92857143],[5.55080064e-06],[-1.82701818e-06],[-9.92857143],[[-9.92857143]],1,5.843747360300951e-06
77,[-9.92857143],[1.35282711e-06],[-5.5856737e-06],[-9.92857143],[[-9.92857143]],1,5.7471638096817625e-06
78,[-9.92857143],[3.02469627e-06],[-2.6019378e-06],[-9.92857143],[[-9.92857143]],1,3.989845596674208e-06
79,[-9.92857143],[3.14673263e-06],[-6.34137706e-07],[-9.92857143],[[-9.92857143]],1,3.209993287039334e-06
80,[-9.92857143],[1.65562802e-06],[-2.20151505e-06],[-9.92857143],[[-9.92857143]],1,2.7545911941488634e-06
81,[-9.92857143],[2.2719968e-06],[-6.91342249e-07],[-9.92857143],[[-9.92857143]],1,2.3748523201900595e-06
82,[-9.92857143],[1.37050548e-06],[-1.53116203e-06],[-9.92857143],[[-9.92857143]],1,2.0549312519544058e-06
83,[-9.92857143],[1.95411668e-06],[2.40984823e-07],[-9.92857143],[[-9.92857143]],1,1.9689199283285177e-06
84,[-9.92857143],[1.25308591e-06],[-6.42424448e-07],[-9.92857143],[[-9.92857143]],1,1.4081667023569556e-06
85,[-9.92857143],[6.50365195e-07],[-9.15992189e-07],[-9.92857143],[[-9.92857143]],1,1.1233951113526838e-06
86,[-9.92857143],[9.3088109e-07],[-2.58775849e-07],[-9.92857143],[[-9.92857143]],1,9.661803883167833e-07
