iter,f,g[0],g[1],f_x_ag,phi,alpha,Norm(g)
0,[0],[14],[18],[6724],[[-260.]],1,22.80350850198276
1,[-6.35644531],[8.4375],[9.75],[-8.39416027],[[-7.65530396]],1,12.893948435215647
2,[-8.39416027],[5.29101562],[5.12109375],[-9.06377183],[[-8.81775752]],1,7.3634535063571365
3,[-9.06377183],[3.50408936],[2.52868652],[-9.2989771],[[-9.20965385]],1,4.321214845957538
4,[-9.2989771],[2.48244667],[1.08145523],[-9.39529779],[[-9.35625903]],1,2.707782651556954
5,[-9.39529779],[1.89179152],[0.27804172],[-9.44632715],[[-9.42386171]],1,1.91211463121107
6,[-9.48515953],[1.19634103],[-0.60515618],[-9.53924903],[[-9.51324462]],1,1.340688572698554
7,[-9.6765493],[0.60864901],[-0.88677728],[-9.77054065],[[-9.74885102]],1,1.0755591807584364
8,[-9.736198],[0.89332633],[-0.23479244],[-9.78161234],[[-9.76285923]],1,0.9236662971616251
9,[-9.78161234],[0.5110917],[-0.61129664],[-9.81623971],[[-9.80145291]],1,0.7968050659553718
10,[-9.81623971],[0.65013187],[-0.23049462],[-9.84267087],[[-9.83110844]],1,0.6897820066407633
11,[-9.86248942],[0.18320896],[-0.62945588],[-9.87330397],[[-9.88935069]],1,0.6555762558329474
12,[-9.87323831],[0.36200211],[-0.30474931],[-9.87998172],[[-9.87673702]],1,0.4731994023836334
13,[-9.89716379],[0.36662344],[-0.0858792],[-9.90913741],[[-9.90602554]],1,0.3765474546351073
14,[-9.90458807],[0.20189319],[-0.25349778],[-9.91024467],[[-9.90787001]],1,0.32407095813046577
15,[-9.91024467],[0.26583328],[-0.08804545],[-9.91455998],[[-9.91269528]],1,0.2800345249061215
16,[-9.91770347],[0.06560985],[-0.26668175],[-9.91896345],[[-9.92241746]],1,0.2746339571140419
17,[-9.91954996],[0.14511243],[-0.12460935],[-9.9206507],[[-9.92012161]],1,0.1912723389833858
18,[-9.92344225],[0.15063592],[-0.03075462],[-9.92534498],[[-9.92491956]],1,0.15374337971863028
19,[-9.92465659],[0.07955443],[-0.10528829],[-9.92558099],[[-9.92520079]],1,0.13196412712684266
20,[-9.92558099],[0.10879913],[-0.03334375],[-9.92628573],[[-9.92598564]],1,0.11379391808311914
21,[-9.92628573],[0.06580749],[-0.07326341],[-9.92682361],[[-9.92658879]],1,0.09847919639704708
22,[-9.92722498],[0.09344324],[0.01118388],[-9.92743442],[[-9.92777853]],1,0.09411013697874532
23,[-9.92744565],[0.06004827],[-0.03084726],[-9.92758287],[[-9.92751686]],1,0.06750813539084609
24,[-9.92793225],[0.03125882],[-0.04380152],[-9.92817482],[[-9.92811323]],1,0.053811586967893565
25,[-9.92808338],[0.0445732],[-0.01249374],[-9.92819851],[[-9.92815034]],1,0.04629107151029409
26,[-9.92819851],[0.02608525],[-0.03030646],[-9.92828633],[[-9.92824848]],1,0.039986523251730584
27,[-9.92834993],[0.03893838],[0.00633182],[-9.92837352],[[-9.9284472]],1,0.03944983531249908
28,[-9.92838788],[0.02439571],[-0.01222746],[-9.92841028],[[-9.92839952]],1,0.027288482556272094
